Affix,Variant,Definition,Chinese_Character
desmo-,0,A bond or chain.,未知
deutero-,0,Second; secondary.,未知
dextro-,0,On or to the right.,未知
di-,0,"Twice, two, double.",未知
dia-,0,"Through, across.",未知
dicho-,0,In two parts; paired.,未知
dictyo-,0,A net.,未知
digiti-,0,A finger; finger-like.,未知
dino-,0,"Terrible, frightful; dinosaur.",未知
diplo-,0,Double.,未知
dis-,0,Expressing a variety of negative senses.,未知
disco-,0,A disc; disc-shaped.,未知
docu-,0,A documentary programme.,未知
dodeca-,0,Twelve.,未知
dolicho-,0,Long.,未知
-dom,0,Forming abstract or collective nouns.,未知
dorsi-,0,The back.,未知
-dox,0,An opinion or view.,未知
-drome,0,Running or racing; proceeding in a given way.,未知
dromo-,0,Movement; speed.,未知
duo-,0,Two; having two.,未知
duodeci-,0,Twelve; twelfth.,未知
duodeno-,0,Duodenum.,未知
dynamo-,0,Power.,未知
dys-,0,Bad; difficult.,未知
e-,0,Electronic communications.,未知
-ean,0,Forming adjectives and some nouns.,未知
echino-,0,Spiny.,未知
eco-,0,Ecology; the natural environment.,未知
ecto-,0,Outer; external; on the outside.,未知
-ectomy,0,Surgical removal of all or part of a specified organ.,未知
-ed,0,Having; possessing; affected by; characteristic of.,未知
-ed,1,Forming the past tense and past participles of regular (weak) verbs.,未知
-ee,0,Forming nouns from verbs.,未知
-een,0,Forming diminutive nouns.,未知
-eer,0,Forming nouns and verbs.,未知
eigen-,0,Proper; characteristic.,未知
eka-,0,Unknown elements.,未知
elasto-,0,Elastic.,未知
electro-,0,"Relating to, caused by, or connected with electricity.",未知
-ella,0,Genera of bacteria and algae.,未知
-elle,0,Forming nouns.,未知
-ellum,0,Forming nouns.,未知
embryo-,0,An embryo.,未知
-eme,0,Linguistic units that are in systemic contrast with one other.,未知
en-,0,Forming verbs.,未知
en-,1,Within; inside.,未知
-en,0,Forming verbs from nouns and adjectives.,未知
-en,1,Forming adjectives from nouns.,未知
-en,2,Forming past participles of strong verbs.,未知
-en,3,Forming noun plurals.,未知
-en,4,Forming diminutives of nouns.,未知
enantio-,0,"Opposite, opposing.",未知
encephalo-,0,The brain.,未知
-enchyma,0,Cellular tissue.,未知
-end,0,Forming nouns.,未知
endo-,0,Internal; within.,未知
-ene,0,Hydrocarbons.,未知
-ene,1,An inhabitant.,未知
-enne,0,Nouns denoting females.,未知
ennea-,0,Nine.,未知
-ennium,0,A period of years.,未知
entero-,0,The intestine.,未知
ento-,0,Within; inside.,未知
entomo-,0,An insect or insects.,未知
eo-,0,"Early, primeval.",未知
epi-,0,Upon; above; in addition.,未知
equi-,0,Equal; equally.,未知
-er,0,Forming nouns.,未知
-er,1,Forming the comparative of some adjectives and adverbs.,未知
-er,2,Colloquial or humorous nouns and adjectives.,未知
-er,3,Forming verbs.,未知
-ergic,0,"Involving, releasing, or mimicking a specified substance as a neurotransmitter.",未知
ergo-,0,Work; energy.,未知
-eroo,0,An informal and often humorous intensifier of nouns.,未知
eroto-,0,Sexual desire or excitement.,未知
-ery,0,Forming nouns.,未知
erythro-,0,Redness.,未知
-esce,0,"Forming verbs, often denoting the initiation of an action.",未知
-ese,0,Forming adjectives and nouns.,未知
-esis,0,Nouns of action or process.,未知
-esque,0,In the style of; resembling.,未知
-ess,0,Forming nouns denoting the female gender.,未知
-est,0,Forming the superlatives of some adjectives and adverbs.,未知
-est,1,Forming the second person singular of verbs.,未知
-et,0,"Forming nouns, originally diminutives.",未知
eth-,0,A two-carbon chain of atoms.,未知
-eth,1,Forming the third person singular of the present tense of verbs.,未知
ethno-,0,"A nation, people, or culture.",未知
ethoxy-,0,The ethoxyl radical.,未知
-etic,0,Forming adjectives and some nouns.,未知
-ette,0,Forming nouns.,未知
eu-,0,Well; easily.,未知
Euro-,0,European; Europe or European plus another country; Europe; the European Union.,未知
eury-,0,A wide variety or range of something.,未知
ex-,0,Out; upward; thoroughly; removal or release; former.,未知
ex-,1,Out,未知
exa-,0,"In units of measurement, a factor of 1018.",未知
exo-,0,External; from outside.,未知
extra-,0,Outside; beyond.,未知
extro-,0,Outwards.,未知
-facient,0,Producing a specified action or state.,未知
facio-,0,The face.,未知
-faction,0,Nouns of action or associated state.,未知
falc-,0,Sickle-shaped.,未知
fascio-,0,A bundle.,未知
-fashion,0,In some specified manner.,未知
febri-,0,Fever.,未知
femoro-,0,The thigh or thigh bone.,未知
femto-,0,"In units of measurement, a factor of 10-15.",未知
-fer,0,Bearing or carrying.,未知
-fera,0,Animal orders or phyla.,未知
-ferous,0,"Having, bearing or containing something.",未知
ferro-,0,Iron.,未知
-fest,0,"A festival, gathering, or activity.",未知
feto-,0,The fetus.,未知
fibrino-,0,Fibrin.,未知
fibro-,0,Fibres.,未知
-fic,0,Forming adjectives of action.,未知
-fication,0,Nouns of action.,未知
-fid,0,Divided in a specified way or into a specified number of parts.,未知
Finno-,0,"Finland, the Finns or the Finnic languages.",未知
-flation,0,"Economic inflation, especially in a particular field.",未知
flavo-,0,Yellow or yellow-tinted.,未知
-flop,0,Measures of computing speed.,未知
flori-,0,A flower or flowers.,未知
-florous,0,Having flowers of a certain type.,未知
fluoro-,0,Fluorine; fluorescence.,未知
fluvio-,0,River.,未知
-fold,0,A number of parts or facets; multiplied by such a number; relating to folding or to a folded object.,未知
for-,0,Forming verbs and adjectives.,未知
fore-,0,"Before, beforehand, going before, in front of, leading.",未知
-form,0,Having a specified form or number of forms.,未知
-formes,0,Orders of animals.,未知
Franco-,0,France or French.,未知
franken-,0,Genetically modified.,未知
-free,0,Free of or from something indicated by the first element.,未知
fronto-,0,The forehead or front part of something.,未知
fructi-,0,Fruit; fructose.,未知
-fuge,0,"An agent that dispels, drives away or eliminates something.",未知
-ful,0,Full of; having given qualities.,未知
fungi-,0,Fungus.,未知
-fy,0,Make or produce; transform into; become.,未知
galacto-,0,Milk; galactose.,未知
Gallo-,0,France or French; French and �,未知
galvano-,0,Electric current.,未知
gamo-,0,"Marriage or union, fertilization or reproduction.",未知
-gamy,0,"Marriage, fertilization or reproduction.",未知
ganglio-,0,Ganglion.,未知
gastro-,0,The stomach; feeding.,未知
-gate,0,"A scandal, especially a political one.",未知
-gen,0,Generation or creation.,未知
geo-,0,The Earth.,未知
Germano-,0,German or Germany.,未知
geronto-,0,Old age or old people.,未知
-gerous,0,Bearing some specified thing.,未知
-geusia,0,The sense of taste.,未知
giga-,0,"In units of measurement, a factor of one thousand million or 109. In computing, often a factor of 230 (1,073,741,824).",未知
giganto-,0,Great size or extent.,未知
gingivo-,0,The gums.,未知
glacio-,0,Glaciers.,未知
glio-,0,The glia.,未知
-globin,0,A globin compound.,未知
-glossia,0,Speech or language.,未知
glosso-,0,The tongue; speech or language.,未知
-glot,0,Language.,未知
glut-,0,Gluten.,未知
gluteo-,0,The buttocks.,未知
glyco-,0,Sugar.,未知
gnatho-,0,The jaw.,未知
-gnomy,0,Knowledge.,未知
-gnosis,0,Knowledge; recognition.,未知
-gon,0,A plane figure with a specified number of straight sides.,未知
gonio-,0,Angle.,未知
-gonium,0,Organs of reproduction.,未知
gono-,0,Sexual; reproductive.,未知
-gony,0,"Production, genesis or origination.",未知
-grade,0,A division; a method of locomotion.,未知
Graeco-,0,Greece; Greek and �,未知
-gram,0,Something written or recorded in a particular way.,未知
grand-,0,The second degree of parentage or descent.,未知
grano-,0,Granite.,未知
granulo-,0,A granule.,未知
grapho-,0,Writing; the production of images.,未知
-graphy,0,Writing; the production of images; descriptive sciences or studies.,未知
gravi-,0,Weight; gravity.,未知
gymno-,0,Bare or naked.,未知
gynaeco-,0,Female; relating to women.,未知
-gynous,0,Having female characteristics.,未知
gyro-,0,Rotation.,未知
haemo-,0,Blood.,未知
hagio-,0,Saints or holiness.,未知
halo-,0,Halogens; salinity or salt.,未知
haplo-,0,Single or simple.,未知
hapto-,0,Binding or fastening; touching.,未知
-head,0,"The head, in various senses, often figurative.",未知
hecto-,0,One hundred.,未知
-hedron,0,A geometrical solid with a specified number of plane faces.,未知
heli-,0,Helicopter.,未知
helico-,0,Spiral; screw.,未知
helio-,0,The Sun.,未知
hemi-,0,Half; a part.,未知
hendeca-,0,Eleven.,未知
hepato-,0,The liver.,未知
hepta-,0,Seven.,未知
hernio-,0,Hernia.,未知
hetero-,0,Different or other.,未知
hexa-,0,Six.,未知
Hiberno-,0,Irish; Irish and �,未知
hidro-,0,Sweat.,未知
hiero-,0,Sacred or holy.,未知
hind-,0,At the back; posterior.,未知
hippo-,0,Horse.,未知
Hispano-,0,Spanish; Spanish and �,未知
histo-,0,Organic tissue.,未知
holo-,0,Whole or complete.,未知
homeo-,0,Similar.,未知
homo-,0,The same.,未知
homo-,1,Man; human being.,未知
-hood,0,A group of people; a condition or quality.,未知
hyalo-,0,Glassy or transparent.,未知
hydro-,0,Water.,未知
hydro-,1,Hydrogen,未知
hydroxy-,0,Hydroxyl; hydroxide.,未知
hygro-,0,Moisture or humidity.,未知
hylo-,0,Woodlands or wood; matter.,未知
hymeno-,0,A membrane; the hymen.,未知
hyper-,0,Excessive; above normal.,未知
hypno-,0,Sleep; hypnosis.,未知
hypo-,0,Under; below normal; slightly.,未知
hypso-,0,Height; elevation.,未知
hystero-,0,Uterus.,未知
-i-,0,A connecting vowel.,未知
-i,0,Forming plurals.,未知
-i,1,Adjectives and nouns relating to countries.,未知
-ia,0,Forming nouns.,未知
-ian,0,Forming adjectives and nouns.,未知
-iatric,0,Medical practice or treatment.,未知
iatro-,0,A physician or medical treatment.,未知
Ibero-,0,Iberian; Iberian and �,未知
-ic,0,Forming adjectives and some nouns.,未知
-ice,0,Forming nouns.,未知
ichthyo-,0,Fish; fishlike.,未知
-ician,0,Nouns denoting occupations.,未知
icono-,0,An image or likeness.,未知
icos-,0,Twenty.,未知
-ics,0,A subject of study or branch of knowledge.,未知
-id,0,Forming adjectives.,未知
-id,1,Forming nouns.,未知
-ida,0,Taxonomic groups.,未知
-idae,0,Taxonomic groups.,未知
-ide,0,A binary compound of a nonmetallic or electronegative element.,未知
ideo-,0,Idea.,未知
-ides,0,Plant and animal genera.,未知
-idine,0,Organic ring compounds containing nitrogen.,未知
idio-,0,Personal; own.,未知
-idium,0,A structure in a plant or animal.,未知
-ier,0,A person engaged in an occupation or activity.,未知
-ile,0,Forming adjectives and some nouns.,未知
ileo-,0,The ileum.,未知
ilio-,0,The ilium.,未知
-im,0,A plural ending of words from Hebrew.,未知
imido-,0,Various amine derivatives.,未知
immuno-,0,Immune or immunity.,未知
in-,0,Not; without.,未知
in-,1,"In, into.",未知
-in,1,"A gathering of people having a common purpose, typically as a form of protest.",未知
-ina,0,Forming nouns.,未知
-inae,0,Animal subfamilies.,未知
Indo-,0,India; India and �,未知
indo-,1,A chemical substance related to indigo or an indole.,未知
-ine,0,Forming adjectives.,未知
-ine,1,Forming feminine nouns.,未知
-ine,2,Forming nouns.,未知
infra-,0,"Below, underneath, beneath.",未知
-ing,0,Forming nouns derived from verbs.,未知
-ing,1,"Forming the present participle of verbs, and adjectives from nouns.",未知
-ing,2,Forming nouns.,未知
ino-,0,Fibrous tissue or muscle.,未知
-ino,0,Forming diminutives.,未知
inter-,0,Between or among; mutually or reciprocally.,未知
intra-,0,On the inside; within.,未知
intro-,0,Into; inwards.,未知
iodo-,0,Iodine.,未知
-ion,0,Forming nouns denoting verbal action.,未知
-ior,0,Forming adjectives of comparison.,未知
irido-,0,The rainbow; the iris.,未知
ischio-,0,The ischium.,未知
-ise,1,Forming nouns.,未知
-ish,0,Forming adjectives.,未知
-ish,1,Forming verbs.,未知
-ism,0,Forming nouns.,未知
iso-,0,Equal; isomeric.,未知
-ison,0,Forming nouns.,未知
-ist,0,Forming personal nouns and some related adjectives.,未知
-ista,0,A supporter of a person or organization.,未知
Italo-,0,Italian; Italian and �.,未知
-ite,0,Forming nouns.,未知
-ite,1,"Forming adjectives, nouns, and verbs.",未知
-itic,0,Forming adjectives and nouns.,未知
-ition,0,Forming nouns.,未知
-itious,0,Forming adjectives.,未知
-itis,0,Inflammatory disease.,未知
-itive,0,Forming adjectives.,未知
-itol,0,Polyhydric alcohols.,未知
-ity,0,A quality or condition.,未知
-ium,0,Forming nouns; chemical elements.,未知
-ive,0,Showing a quality or tendency.,未知
-ize,0,Forming verbs.,未知
jejuno-,0,The jejunum.,未知
Judaeo-,0,Jewish; Jewish and �,未知
juxta-,0,Near to.,未知
karyo-,0,The nucleus of a cell.,未知
kerato-,0,Horny tissue; the cornea.,未知
keto-,0,Ketone.,未知
kilo-,0,"In units of measurement, a factor of a thousand.",未知
-kin,0,Forming diminutive nouns.,未知
kinesio-,0,Movement.,未知
-kinesis,0,Movement.,未知
-kinin,0,A hormone.,未知
klepto-,0,Thieving.,未知
kypho-,0,Humped.,未知
labio-,0,The lips.,未知
lacto-,0,Milk; lactic acid or lactose.,未知
laevo-,0,On or to the left.,未知
-lagnia,0,Morbid sexual arousal.,未知
-lalia,0,A speech condition or disorder.,未知
lamelli-,0,"A thin scale, plate, or layer.",未知
lamino-,0,A thin layer.,未知
laparo-,0,The abdominal wall.,未知
laryngo-,0,The larynx.,未知
latero-,0,Lateral; to one side.,未知
-latry,0,Worship of a specified thing.,未知
-le,0,Forming nouns.,未知
-le,1,Apt to; liable to.,未知
-le,2,Forming verbs.,未知
-lecithal,0,Having an egg yolk of a given kind.,未知
lecitho-,0,Egg yolk.,未知
-lect,0,A variety within a language.,未知
leio-,0,Smooth.,未知
-lent,0,Full of; characterized by.,未知
lepido-,0,Scales.,未知
-lepsis,0,A figure of speech.,未知
-lepsy,0,A seizure.,未知
lepto-,0,Small; narrow.,未知
-less,0,Without; unaffected by; failure or inability.,未知
-let,0,A thing of a smaller or lesser kind.,未知
leuco-,0,White; whiteness.,未知
ligno-,0,Wood.,未知
limno-,0,Fresh water.,未知
-ling,0,"Forming nouns, often with diminutive or depreciatory implications.",未知
lipo-,0,Fat.,未知
-lite,0,A mineral or fossil.,未知
-lith,0,A stone or stony structure.,未知
-lithic,0,Stone.,未知
litho-,0,Stone.,未知
-logical,0,Relating to a branch of knowledge or experience.,未知
-logist,0,"A person skilled in, or involved in, a branch of study.",未知
logo-,0,Words or speech.,未知
-logue,0,A type of communication or debate.,未知
-logy,0,A subject of study or interest; speech or language.,未知
lopho-,0,Crested.,未知
lumbo-,0,The lower back or loin.,未知
luteo-,0,Yellow; the corpus luteum.,未知
-ly,0,Forming adjectives and adverbs.,未知
lympho-,0,Lymph.,未知
lyo-,0,Dispersion; dissolution.,未知
-lysis,0,Disintegration or decomposition.,未知
lyso-,0,Disintegration of cells.,未知
-machy,0,Fighting.,未知
macro-,0,Long; large.,未知
magneto-,0,Magnetism or a magnet.,未知
magni-,0,Large; great.,未知
mal-,0,Improperly; badly; wrongly.,未知
-malacia,0,Abnormal softening of a tissue.,未知
malaco-,0,Soft.,未知
Malayo-,0,Malay; Malay and �,未知
mammo-,0,A breast or breasts.,未知
-man,0,A male person of a specified type.,未知
-mancy,0,Divination.,未知
mangano-,0,Manganese.,未知
-mania,0,Mental abnormality or obsession; extreme enthusiasm or admiration.,未知
-manship,0,Skill in a subject or activity.,未知
masto-,0,Breast.,未知
matri-,0,A mother.,未知
maxi-,0,Very large or long.,未知
maxillo-,0,The jaw.,未知
mechano-,0,Mechanical.,未知
medico-,0,Medicine plus another field.,未知
medio-,0,Middle.,未知
mega-,0,Large or great; a factor of one million; a factor of 220.,未知
-megaly,0,Abnormal enlargement of part of the body.,未知
meio-,0,Less or fewer.,未知
-meister,0,A person regarded as skilled or prominent in a specified activity.,未知
melano-,0,Black.,未知
-melia,0,An abnormal condition of a limb.,未知
meningo-,0,The meninges.,未知
meno-,0,Menstruation.,未知
-ment,0,Forming nouns.,未知
-mer,0,Part or segment.,未知
mercapto-,0,The chemical radical �SH.,未知
mero-,0,Partly or partial.,未知
mesio-,0,A midline.,未知
meso-,0,Middle; intermediate.,未知
meta-,0,"Change of position or condition; behind, after, or beyond; of a higher or second-order kind; chemical substitution.",未知
metallo-,0,A metal.,未知
-meter,0,Measuring instrument; unit of measurement.,未知
metho-,0,"The methyl radical, �CH3.",未知
methoxy-,0,"The methoxyl radical, CH3O�",未知
-metric,0,Measurement.,未知
metro-,0,The uterus.,未知
metro-,1,Measurement.,未知
metro-,2,A capital city or other large urban area.,未知
-metropia,0,A condition of the eye.,未知
micro-,0,Small; a factor of one millionth.,未知
mid-,0,Middle; medium; half.,未知
midi-,0,Medium-sized; of medium length.,未知
milli-,0,One thousandth; a thousand.,未知
mini-,0,Very small of its kind.,未知
mis-,0,Various senses with negative implications.,未知
miso-,0,Hatred for or a hater of something.,未知
-mo,0,Book sizes.,未知
-monas,0,Simple microorganisms.,未知
-monger,0,A dealer or trader.,未知
mono-,0,One; alone; single.,未知
-mony,0,Forming nouns.,未知
-morph,0,A specified form or character.,未知
-morpha,0,Animal groupings.,未知
morpho-,0,Form or character.,未知
-most,0,Superlative adjectives and adverbs.,未知
muco-,0,Mucus.,未知
multi-,0,More than one; many.,未知
musculo-,0,Muscle.,未知
-myces,0,Bacteria or fungi.,未知
-mycin,0,An antibiotic compound derived from fungi.,未知
myco-,0,Fungi or fungal.,未知
myelo-,0,Bone marrow; the spinal cord.,未知
myo-,0,Muscle.,未知
myringo-,0,The eardrum.,未知
myrmeco-,0,An ant or ants.,未知
mytho-,0,Myth.,未知
myxo-,0,Mucus.,未知
n-,0,Normal; number; negative.,未知
