Affix,Variant,Definition
"hyalo-",0,Glassy or transparent.
"hydro-",0,Water.
"hydro-",1,Hydrogen
"hydroxy-",0,Hydroxyl; hydroxide.
"hygro-",0,Moisture or humidity.
"hylo-",0,Woodlands or wood; matter.
"hymeno-",0,A membrane; the hymen.
"hyper-",0,Excessive; above normal.
"hypno-",0,Sleep; hypnosis.
"hypo-",0,Under; below normal; slightly.
"hypso-",0,Height; elevation.
"hystero-",0,Uterus.
"-i-",0,A connecting vowel.
"-i",0,Forming plurals.
"-i",1,Adjectives and nouns relating to countries.
"-ia",0,Forming nouns.
"-ian",0,Forming adjectives and nouns.
"-iatric",0,Medical practice or treatment.
"iatro-",0,A physician or medical treatment.
"Ibero-",0,Iberian; Iberian and �
"-ic",0,Forming adjectives and some nouns.
"-ice",0,Forming nouns.
"ichthyo-",0,Fish; fishlike.
"-ician",0,Nouns denoting occupations.
"icono-",0,An image or likeness.
"icos-",0,Twenty.
"-ics",0,A subject of study or branch of knowledge.
"-id",0,Forming adjectives.
"-id",1,Forming nouns.
"-ida",0,Taxonomic groups.
"-idae",0,Taxonomic groups.
"-ide",0,A binary compound of a nonmetallic or electronegative element.
"ideo-",0,Idea.
"-ides",0,Plant and animal genera.
"-idine",0,Organic ring compounds containing nitrogen.
"idio-",0,Personal; own.
"-idium",0,A structure in a plant or animal.
"-ier",0,A person engaged in an occupation or activity.
"-ile",0,Forming adjectives and some nouns.
"ileo-",0,The ileum.
"ilio-",0,The ilium.
"-im",0,A plural ending of words from Hebrew.
"imido-",0,Various amine derivatives.
"immuno-",0,Immune or immunity.
"in-",0,Not; without.
"in-",1,"In, into."
"-in",1,"A gathering of people having a common purpose, typically as a form of protest."
"-ina",0,Forming nouns.
"-inae",0,Animal subfamilies.
"Indo-",0,India; India and �
"indo-",1,A chemical substance related to indigo or an indole.
"-ine",0,Forming adjectives.
"-ine",1,Forming feminine nouns.
"-ine",2,Forming nouns.
"infra-",0,"Below, underneath, beneath."
"-ing",0,Forming nouns derived from verbs.
"-ing",1,"Forming the present participle of verbs, and adjectives from nouns."
"-ing",2,Forming nouns.
"ino-",0,Fibrous tissue or muscle.
"-ino",0,Forming diminutives.
"inter-",0,Between or among; mutually or reciprocally.
"intra-",0,On the inside; within.
"intro-",0,Into; inwards.
"iodo-",0,Iodine.
"-ion",0,Forming nouns denoting verbal action.
"-ior",0,Forming adjectives of comparison.
"irido-",0,The rainbow; the iris.
"ischio-",0,The ischium.
"-ise",1,Forming nouns.
"-ish",0,Forming adjectives.
"-ish",1,Forming verbs.
"-ism",0,Forming nouns.
"iso-",0,Equal; isomeric.
"-ison",0,Forming nouns.
"-ist",0,Forming personal nouns and some related adjectives.
"-ista",0,A supporter of a person or organization.
"Italo-",0,Italian; Italian and �.
"-ite",0,Forming nouns.
"-ite",1,"Forming adjectives, nouns, and verbs."
"-itic",0,Forming adjectives and nouns.
"-ition",0,Forming nouns.
"-itious",0,Forming adjectives.
"-itis",0,Inflammatory disease.
"-itive",0,Forming adjectives.
"-itol",0,Polyhydric alcohols.
"-ity",0,A quality or condition.
"-ium",0,Forming nouns; chemical elements.
"-ive",0,Showing a quality or tendency.
"-ize",0,Forming verbs.
"jejuno-",0,The jejunum.
"Judaeo-",0,Jewish; Jewish and �
"juxta-",0,Near to.
"karyo-",0,The nucleus of a cell.
"kerato-",0,Horny tissue; the cornea.
"keto-",0,Ketone.
"kilo-",0,"In units of measurement, a factor of a thousand."
"-kin",0,Forming diminutive nouns.
"kinesio-",0,Movement.
"-kinesis",0,Movement.
"-kinin",0,A hormone.
"klepto-",0,Thieving.
"kypho-",0,Humped.
"labio-",0,The lips.
"lacto-",0,Milk; lactic acid or lactose.
"laevo-",0,On or to the left.
"-lagnia",0,Morbid sexual arousal.
"-lalia",0,A speech condition or disorder.
"lamelli-",0,"A thin scale, plate, or layer."
"lamino-",0,A thin layer.
"laparo-",0,The abdominal wall.
"laryngo-",0,The larynx.
"latero-",0,Lateral; to one side.
"-latry",0,Worship of a specified thing.
"-le",0,Forming nouns.
"-le",1,Apt to; liable to.
"-le",2,Forming verbs.
"-lecithal",0,Having an egg yolk of a given kind.
"lecitho-",0,Egg yolk.
"-lect",0,A variety within a language.
"leio-",0,Smooth.
"-lent",0,Full of; characterized by.
"lepido-",0,Scales.
"-lepsis",0,A figure of speech.
"-lepsy",0,A seizure.
"lepto-",0,Small; narrow.
"-less",0,Without; unaffected by; failure or inability.
"-let",0,A thing of a smaller or lesser kind.
"leuco-",0,White; whiteness.
"ligno-",0,Wood.
"limno-",0,Fresh water.
"-ling",0,"Forming nouns, often with diminutive or depreciatory implications."
"lipo-",0,Fat.
"-lite",0,A mineral or fossil.
"-lith",0,A stone or stony structure.
"-lithic",0,Stone.
"litho-",0,Stone.
"-logical",0,Relating to a branch of knowledge or experience.
"-logist",0,"A person skilled in, or involved in, a branch of study."
"logo-",0,Words or speech.
"-logue",0,A type of communication or debate.
"-logy",0,A subject of study or interest; speech or language.
"lopho-",0,Crested.
"lumbo-",0,The lower back or loin.
"luteo-",0,Yellow; the corpus luteum.
"-ly",0,Forming adjectives and adverbs.
"lympho-",0,Lymph.
"lyo-",0,Dispersion; dissolution.
"-lysis",0,Disintegration or decomposition.
"lyso-",0,Disintegration of cells.
"-machy",0,Fighting.
"macro-",0,Long; large.
"magneto-",0,Magnetism or a magnet.
"magni-",0,Large; great.
"mal-",0,Improperly; badly; wrongly.
"-malacia",0,Abnormal softening of a tissue.
"malaco-",0,Soft.
"Malayo-",0,Malay; Malay and �
"mammo-",0,A breast or breasts.
"-man",0,A male person of a specified type.
"-mancy",0,Divination.
"mangano-",0,Manganese.
"-mania",0,Mental abnormality or obsession; extreme enthusiasm or admiration.
"-manship",0,Skill in a subject or activity.
"masto-",0,Breast.
"matri-",0,A mother.
"maxi-",0,Very large or long.
"maxillo-",0,The jaw.
"mechano-",0,Mechanical.
"medico-",0,Medicine plus another field.
"medio-",0,Middle.
"mega-",0,Large or great; a factor of one million; a factor of 220.
"-megaly",0,Abnormal enlargement of part of the body.
"meio-",0,Less or fewer.
"-meister",0,A person regarded as skilled or prominent in a specified activity.
"melano-",0,Black.
"-melia",0,An abnormal condition of a limb.
"meningo-",0,The meninges.
"meno-",0,Menstruation.
"-ment",0,Forming nouns.
"-mer",0,Part or segment.
"mercapto-",0,The chemical radical �SH.
"mero-",0,Partly or partial.
"mesio-",0,A midline.
"meso-",0,Middle; intermediate.
"meta-",0,"Change of position or condition; behind, after, or beyond; of a higher or second-order kind; chemical substitution."
"metallo-",0,A metal.
"-meter",0,Measuring instrument; unit of measurement.
"metho-",0,"The methyl radical, �CH3."
"methoxy-",0,"The methoxyl radical, CH3O�"
"-metric",0,Measurement.
"metro-",0,The uterus.
"metro-",1,Measurement.
"metro-",2,A capital city or other large urban area.
"-metropia",0,A condition of the eye.
"micro-",0,Small; a factor of one millionth.
"mid-",0,Middle; medium; half.
"midi-",0,Medium-sized; of medium length.
"milli-",0,One thousandth; a thousand.
"mini-",0,Very small of its kind.
"mis-",0,Various senses with negative implications.
"miso-",0,Hatred for or a hater of something.
"-mo",0,Book sizes.
"-monas",0,Simple microorganisms.
"-monger",0,A dealer or trader.
"mono-",0,One; alone; single.
"-mony",0,Forming nouns.
"-morph",0,A specified form or character.
"-morpha",0,Animal groupings.
"morpho-",0,Form or character.
"-most",0,Superlative adjectives and adverbs.
"muco-",0,Mucus.
"multi-",0,More than one; many.
"musculo-",0,Muscle.
"-myces",0,Bacteria or fungi.
"-mycin",0,An antibiotic compound derived from fungi.
"myco-",0,Fungi or fungal.
"myelo-",0,Bone marrow; the spinal cord.
"myo-",0,Muscle.
"myringo-",0,The eardrum.
"myrmeco-",0,An ant or ants.
"mytho-",0,Myth.
"myxo-",0,Mucus.
"n-",0,Normal; number; negative.
"nano-",0,"In units of measurement, a factor of 10-9."
"-nap",0,Abduct in order to extract a ransom.
"naphtho-",0,Napthalene.
"narco-",0,"Stupor, drowsiness, or insensibility; the illicit production and use of drugs."
"naso-",0,The nose.
"-nasty",0,Nastic movement.
"natro-",0,Sodium.
"-naut",0,A literal or figurative voyager.
"necro-",0,Death; a corpse.
"nega-",0,Negative.
"nemato-",0,Thread-like in shape.
"neo-",0,New.
"nepho-",0,Cloud.
"nephro-",0,A kidney or the kidneys.
"-ness",0,A state or condition.
"neuro-",0,Nerves or the nervous system.
"neutro-",0,Neutral.
"nigro-",0,Black.
"-nik",0,A person associated with a specified thing or quality.
"nitro-",0,"Containing nitrogen, nitric acid, or nitrates."
"noci-",0,Pain.
"nocti-",0,Night.
"nomo-",0,Law.
"-nomy",0,A specified area of knowledge or the laws governing it.
"non-",0,Not.
"nona-",0,Nine; having nine.
"noo-",0,The mind.
"nor-",0,An organic compound that is the parent of another.
"normo-",0,Normal; close to the average.
"noso-",0,Disease.
"nuci-",0,A nut.
"nucleo-",0,Nucleus; nuclear; nucleic acid.
"nudi-",0,Naked.
"nulli-",0,Nothing.
"nycto-",0,Night.
"-o-",0,A linking vowel.
"-o",0,Marking informally shortened or slang nouns.
"ob-",0,"Towards, to, on, over, or against."
"occipito-",0,The occipital bone.
"-ock",0,Forming nouns.
"octo-",0,Eight; having eight.
"oculo-",0,The eye or the sense of vision.
"-ode",0,Like; of the nature of.
"-ode",1,A conductor of electricity.
"-odont",0,Teeth; toothed.
"-odontics",0,Specialisms in dentistry.
"odonto-",0,A tooth or teeth.
"-odynia",0,Pain.
"oeno-",0,Wine.
"oesophago-",0,The oesophagus.
"-oic",0,A carboxyl group or its derivative.
"-oid",0,Like; resembling.
"-ol",0,An alcohol or phenol.
"-ola",0,Diminutives; trade names; humorous or dismissive formations.
"-ole",0,Organic chemical compounds.
"-ole",1,Forming nouns.
"oleo-",0,Relating to or containing oil.
"oligo-",0,A small number; having few.
"-oma",0,A tumour or other abnormal growth.
"ombro-",0,Rain; moisture.
"-ome",0,Having a specified nature.
"omni-",0,Of all things; in all places.
"omphalo-",0,The navel; the umbilical cord.
"-on",0,Subatomic particles or quanta; molecular units.
"-on",1,Inert gases.
"onco-",0,A tumour.
"-one",0,"Various chemical compounds, especially ketones."
"oneiro-",0,Dreams or dreaming.
"-onic",0,Organic acids.
"-ont",0,An individual or cell of a specified type.
"onto-",0,Existence or being.
"-onychia",0,A condition of the nails.
"onycho-",0,The nails.
"-onym",0,A name.
"oo-",0,An egg or ovum.
"-oon",0,Forming nouns and derived verbs.
"oophoro-",0,The ovary.
"ophio-",0,A snake.
"ophthalmo-",0,The eyes.
"-opia",0,A visual disorder.
"opistho-",0,Behind; to the rear.
"-opsia",0,A defect of vision.
"-opsis",0,Observation or perception; likeness.
